#{"t_start": 1783705331.5879314, "env_id": "LunarLander-v3"}
r,l,t
78.332435,251,1.808116
264.340791,279,2.032888
222.601835,308,2.278944
50.793917,225,2.684475
252.812886,306,2.933928
220.76977,339,3.204859
206.534039,414,3.79226
258.912929,309,4.036399
229.679817,321,4.305513
248.991727,309,4.546578
299.941756,302,5.027596
252.947329,289,5.249148
-18.343588,232,5.428977
255.400979,305,5.891388
237.37068,346,6.165922
266.313255,312,6.420182
231.259558,292,6.865763
237.366556,298,7.099376
251.58844,262,7.298698
249.685759,393,7.599793
270.535847,302,8.054209
275.777147,445,8.393479
273.570418,291,8.617068
249.029662,339,9.125989
261.026219,307,9.375151
290.683494,382,9.680921
290.198821,289,10.159703
252.029459,316,10.412788
33.49839,242,10.60355
254.388143,322,11.079279
247.727512,338,11.34675
119.704638,1000,12.364475
234.474012,296,12.58619
254.653584,298,12.810055
274.708652,315,13.283971
227.129735,282,13.506725
257.050234,321,13.762687
287.043376,290,14.246613
281.19172,278,14.47623
254.180867,308,14.729082
269.722263,287,15.234464
264.482329,326,15.481804
257.743156,323,15.734272
154.390513,1000,16.835921
270.805833,322,17.091555
261.571465,348,17.59482
35.382415,259,17.799354
253.718868,321,18.051976
247.526136,320,18.536918
284.474904,315,18.783093
265.126937,399,19.101114
268.579221,359,19.641056
247.178277,299,19.880571
22.095942,231,20.061579
277.326467,306,20.544107
278.421343,325,20.797652
275.809324,319,21.043467
254.823218,290,21.265403
244.849433,320,21.726952
253.252756,299,21.955292
272.999954,291,22.175867
284.80741,306,22.643631
245.831631,315,22.888165
270.234962,349,23.164019
241.700116,284,23.639599
259.657084,287,23.873349
263.301294,292,24.106934
278.661615,272,24.330836
272.149496,310,24.820328
276.580309,270,25.069709
57.281724,228,25.270329
278.007445,383,25.815448
265.142144,309,26.061903
282.43187,320,26.321505
252.476373,311,26.570304
292.89157,296,27.053691
280.345539,332,27.316521
247.838072,324,27.570623
269.427577,353,28.107008
263.641405,328,28.359746
239.17593,392,28.668711
54.77099,223,29.086019
253.84053,354,29.370468
263.697468,282,29.60648
264.945793,289,30.081677
256.063783,335,30.348737
296.131869,283,30.572876
40.363706,256,30.773596
163.150896,1000,31.842319
253.90904,269,32.307877
258.910382,312,32.553847
254.363312,316,32.801708
257.427494,324,33.331933
275.90502,274,33.544168
130.98877,1000,34.556792
288.396144,346,34.821644
247.04849,276,35.036609
263.71484,295,35.486476
